Pattern,Category
Net Interest Paid,Interest Income
Cash withdrawal,Cash Withdrawal
Exchanged to,Currency Exchange
Instant Access Savings,Internal Transfer
Pocket,Internal Transfer
investment account,Internal Transfer
Lidl,Groceries
Rewe,Groceries
EDEKA,Groceries
Netto,Groceries
dm drogerie,Personal Care
Amazon,Online Shopping
Supersupply,Online Shopping
Sanku Maots,Restaurants
Tacuza,Restaurants
Café Blüte,Restaurants
Merakee,Restaurants
Dh Innovhub,Restaurants
Girasol,Cash Withdrawal
The Mood Burger,Restaurants
Mr Orient Bar,Restaurants
Kailash Parbat,Restaurants
Lsp Kokio,Restaurants
Fiore Di Roma,Restaurants
Green & Protein,Restaurants
Marral,Restaurants
Lucky Star,Restaurants
Orient Master,Restaurants
Urban Apes,Restaurants
Steinecke,Bakery
BackWERK,Bakery
Wolt,Food Delivery
St Christopher,Travel & Lodging
Urban Sports,Fitness
ROLAND Rechtsschutz,Insurance
Getsafe,Insurance
Vodafone,Telecom
nextbike,Transport
Payment from,Personal Income
Transfer from,Person Transfer In
Transfer to,Person Transfer Out
To ,Person Transfer Out
